Empresa;Código;Índices dos quais participa;
BRASILAGRO;ON   NM;AGRO3;AGFS,IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
BRASKEM;ON   N1;BRKM3;IGCX,ITAG
BRASKEM;PNA  N1;BRKM5;IBBR,IBEP,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL
BRAVA;ON   NM;BRAV3;GPTW,IBBR,IBEP,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
BRF SA;ON   NM;BRFS3;AGFS,IBBR,IBEP,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX
BRISANET;ON   NM;BRIT3;IGCX,IGNM,ITAG
BRITISH AMER;DRN;B1TI34;BDRX
BROADCOM INC;DRN;AVGO34;BDRX
BTGP BANCO;UNT  N2;BPAC11;IBBR,IBEP,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
CAIXA SEGURI;ON   NM;CXSE3;GPTW,IBBR,IBEE,IBLV,IBOV,IBRA,IBSD,IBXX,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX
CAMIL;ON   NM;CAML3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
CARREFOUR BR;ON   NM;CRFB3;AGFS,IBBR,IBEP,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
CARTESIA FII;CI;CACR11;IFIL,IFIX
CASAS BAHIA;ON   NM;BHIA3;GPTW,IBRA,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
CATERPILLAR;DRN;CATP34;BDRX
CBA;ON   NM;CBAV3;IBRA,IDVR,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL
CCR SA;ON   NM;CCRO3;GPTW,IBBR,IBEP,IBLV,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
CEA MODAS;ON   NM;CEAB3;GPTW,IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
CEDRO;PN   N1;CEDO4;IGCX,ITAG
CELESC;ON   N2;CLSC3;ITAG
CELESC;PN   N2;CLSC4;IGCX,ITAG
CEMIG;ON   N1;CMIG3;IBRA,IDIV,IDVR,IGCT,IGCX,MLCX,UTIL
CEMIG;PN   N1;CMIG4;IBBR,IBEE,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
CHARTER COMM;DRN;CHCM34;BDRX
CHEVRON;DRN;CHVX34;BDRX
CISCO;DRN;CSCO34;BDRX
CITIGROUP;DRN;CTGP34;BDRX
CLEARSALE;ON   NM;CLSA3;GPTW,IBRA,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
COCA COLA;DRN;COCA34;BDRX
COELCE;PNA;COCE5;IEEX
COGNA ON;ON   NM;COGN3;IBBR,IBEP,IBHB,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
COINBASEGLOB;DRN;C2OI34;BDRX
COLGATE;DRN;COLG34;BDRX
COMCAST;DRN;CMCS34;BDRX
COPASA;ON   NM;CSMG3;IBRA,IBXX,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
COPEL;ON   N2;CPLE3;IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,ITAG,MLCX,UTIL
COPEL;PNA  N2;CPLE5;ITAG
COPEL;PNB  N2;CPLE6;IBBR,IBEP,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,ISEE,ITAG,IVBX,MLCX,UTIL
COPHILLIPS;DRN;COPH34;BDRX
COSAN;ON   NM;CSAN3;AGFS,IBBR,IBEP,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
COSTCO;DRN;COWC34;BDRX
CPFL ENERGIA;ON   NM;CPFE3;IBBR,IBEP,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
CROWDSTRIKE;DRN;C2RW34;BDRX
CRUZEIRO EDU;ON   NM;CSED3;IGCX,IGNM,ITAG
